Time   [HA]   [A-][H+] 
42.2 0.66 0.54 0.34
42.3 0.65 0.55 0.35
42.4 0.65 0.55 0.35
42.5 0.65 0.55 0.35
42.6 0.65 0.55 0.35
42.7 0.65 0.55 0.35
42.8 0.65 0.55 0.35
42.9 0.65 0.55 0.35
43.0 0.65 0.55 0.35
43.1 0.65 0.55 0.35
43.2 0.65 0.55 0.35
43.3 0.65 0.55 0.35
43.4 0.65 0.55 0.35
43.5 0.65 0.55 0.35
43.6 0.65 0.55 0.35
43.7 0.65 0.55 0.35
43.8 0.65 0.55 0.35
43.9 0.64 0.56 0.36
44.0 0.64 0.56 0.36
44.1 0.64 0.56 0.36
44.2 0.64 0.56 0.36
44.3 0.64 0.56 0.36
44.4 0.64 0.56 0.36
44.5 0.64 0.56 0.36
44.6 0.64 0.56 0.36
44.7 0.64 0.56 0.36
44.8 0.64 0.56 0.36
44.9 0.64 0.56 0.36
45.0 0.64 0.56 0.36
45.1 0.64 0.56 0.36
45.2 0.64 0.56 0.36
45.3 0.64 0.56 0.36
45.4 0.63 0.57 0.37
45.5 0.63 0.57 0.37
45.6 0.63 0.57 0.37
45.7 0.63 0.57 0.37
45.8 0.63 0.57 0.37
45.9 0.63 0.57 0.37
46.0 0.63 0.57 0.37
46.1 0.63 0.57 0.37
46.2 0.63 0.57 0.37
46.3 0.63 0.57 0.37
46.4 0.63 0.57 0.37
46.5 0.63 0.57 0.37
46.6 0.63 0.57 0.37
46.7 0.63 0.57 0.37
46.8 0.63 0.57 0.37
46.9 0.63 0.57 0.37
47.0 0.62 0.58 0.38
47.1 0.62 0.58 0.38
47.2 0.62 0.58 0.38
47.3 0.62 0.58 0.38
47.4 0.62 0.58 0.38
47.5 0.62 0.58 0.38
47.6 0.62 0.58 0.38
47.7 0.62 0.58 0.38
47.8 0.62 0.58 0.38
47.9 0.62 0.58 0.38
48.0 0.62 0.58 0.38
48.1 0.62 0.58 0.38
48.2 0.62 0.58 0.38
48.3 0.62 0.58 0.38
48.4 0.62 0.58 0.38
48.5 0.62 0.58 0.38
48.6 0.61 0.59 0.39
48.7 0.61 0.59 0.39
48.8 0.61 0.59 0.39
48.9 0.61 0.59 0.39
49.0 0.61 0.59 0.39
49.1 0.61 0.59 0.39
49.2 0.61 0.59 0.39
49.3 0.61 0.59 0.39
49.4 0.61 0.59 0.39
49.5 0.61 0.59 0.39
49.6 0.61 0.59 0.39
49.7 0.61 0.59 0.39
49.8 0.61 0.59 0.39
49.9 0.61 0.59 0.39
50.0 0.61 0.59 0.39
50.1 0.61 0.59 0.39
50.2 0.61 0.59 0.39
50.3 0.6 0.6 0.4
50.4 0.6 0.6 0.4
50.5 0.6 0.6 0.4
50.6 0.6 0.6 0.4
50.7 0.6 0.6 0.4
50.8 0.6 0.6 0.4
50.9 0.6 0.6 0.4
51.0 0.6 0.6 0.4
51.1 0.6 0.6 0.4
51.2 0.6 0.6 0.4
51.3 0.6 0.6 0.4
51.4 0.6 0.6 0.4
51.5 0.6 0.6 0.4
51.6 0.6 0.6 0.4
51.7 0.6 0.6 0.4
51.8 0.6 0.6 0.4
51.9 0.6 0.6 0.41
52.0 0.59 0.61 0.41
52.1 0.59 0.61 0.41
52.2 0.59 0.61 0.41
52.3 0.59 0.61 0.41
52.4 0.59 0.61 0.41
52.5 0.59 0.61 0.41
52.6 0.59 0.61 0.41
52.7 0.59 0.61 0.41
52.8 0.59 0.61 0.41
52.9 0.59 0.61 0.41
53.0 0.59 0.61 0.41
53.1 0.59 0.61 0.41
53.2 0.59 0.61 0.41
53.3 0.59 0.61 0.41
53.4 0.59 0.61 0.41
53.5 0.59 0.61 0.41
53.6 0.58 0.62 0.42
53.7 0.58 0.62 0.42
53.8 0.58 0.62 0.42
53.9 0.58 0.62 0.42
54.0 0.58 0.62 0.42
54.1 0.58 0.62 0.42
54.2 0.58 0.62 0.42
54.3 0.58 0.62 0.42
54.4 0.58 0.62 0.42
54.5 0.58 0.62 0.42
54.6 0.58 0.62 0.42
54.7 0.58 0.62 0.42
54.8 0.58 0.62 0.42
54.9 0.58 0.62 0.42
55.0 0.58 0.62 0.42
55.1 0.58 0.62 0.42
55.2 0.58 0.62 0.42
55.3 0.58 0.62 0.42
55.4 0.57 0.63 0.43
55.5 0.57 0.63 0.43
55.6 0.57 0.63 0.43
55.7 0.57 0.63 0.43
55.8 0.57 0.63 0.43
55.9 0.57 0.63 0.43
56.0 0.57 0.63 0.43
56.1 0.57 0.63 0.43
56.2 0.57 0.63 0.43
56.3 0.57 0.63 0.43
56.4 0.57 0.63 0.43
56.5 0.57 0.63 0.43
56.6 0.57 0.63 0.43
56.7 0.57 0.63 0.43
56.8 0.57 0.63 0.43
56.9 0.57 0.63 0.43
57.0 0.57 0.63 0.43
57.1 0.56 0.64 0.44
57.2 0.56 0.64 0.44
57.3 0.56 0.64 0.44
57.4 0.56 0.64 0.44
57.5 0.56 0.64 0.44
57.6 0.56 0.64 0.44
57.7 0.56 0.64 0.44
57.8 0.56 0.64 0.44
57.9 0.56 0.64 0.44
58.0 0.56 0.64 0.44
58.1 0.56 0.64 0.44
58.2 0.56 0.64 0.44
58.3 0.56 0.64 0.44
58.4 0.56 0.64 0.44
58.5 0.56 0.64 0.44
58.6 0.56 0.64 0.44
58.7 0.56 0.64 0.44
58.8 0.56 0.64 0.44
58.9 0.55 0.65 0.45
59.0 0.55 0.65 0.45
59.1 0.55 0.65 0.45
59.2 0.55 0.65 0.45
59.3 0.55 0.65 0.45
59.4 0.55 0.65 0.45
59.5 0.55 0.65 0.45
59.6 0.55 0.65 0.45
59.7 0.55 0.65 0.45
59.8 0.55 0.65 0.45
59.9 0.55 0.65 0.45
60.0 0.55 0.65 0.45
60.1 0.55 0.65 0.45
60.2 0.55 0.65 0.45
60.3 0.55 0.65 0.45
60.4 0.55 0.65 0.45
60.5 0.55 0.65 0.45
60.6 0.55 0.65 0.45
60.7 0.54 0.66 0.46
60.8 0.54 0.66 0.46
60.9 0.54 0.66 0.46
61.0 0.54 0.66 0.46
61.1 0.54 0.66 0.46
61.2 0.54 0.66 0.46
61.3 0.54 0.66 0.46
61.4 0.54 0.66 0.46
61.5 0.54 0.66 0.46
61.6 0.54 0.66 0.46
61.7 0.54 0.66 0.46
61.8 0.54 0.66 0.46
61.9 0.54 0.66 0.46
62.0 0.54 0.66 0.46
62.1 0.54 0.66 0.46
62.2 0.54 0.66 0.46
62.3 0.54 0.66 0.46
62.4 0.54 0.66 0.46
62.5 0.54 0.66 0.46
62.6 0.53 0.67 0.47
62.7 0.53 0.67 0.47
62.8 0.53 0.67 0.47
62.9 0.53 0.67 0.47
63.0 0.53 0.67 0.47
63.1 0.53 0.67 0.47
63.2 0.53 0.67 0.47
63.3 0.53 0.67 0.47
63.4 0.53 0.67 0.47
63.5 0.53 0.67 0.47
63.6 0.53 0.67 0.47
63.7 0.53 0.67 0.47
63.8 0.53 0.67 0.47
63.9 0.53 0.67 0.47
64.0 0.53 0.67 0.47
64.1 0.53 0.67 0.47
64.2 0.53 0.67 0.47
64.3 0.53 0.67 0.47
64.4 0.53 0.67 0.48
64.5 0.52 0.68 0.48
64.6 0.52 0.68 0.48
64.7 0.52 0.68 0.48
64.8 0.52 0.68 0.48
64.9 0.52 0.68 0.48
65.0 0.52 0.68 0.48
65.1 0.52 0.68 0.48
65.2 0.52 0.68 0.48
65.3 0.52 0.68 0.48
65.4 0.52 0.68 0.48
65.5 0.52 0.68 0.48
65.6 0.52 0.68 0.48
65.7 0.52 0.68 0.48
65.8 0.52 0.68 0.48
65.9 0.52 0.68 0.48
66.0 0.52 0.68 0.48
66.1 0.52 0.68 0.48
66.2 0.52 0.68 0.48
66.3 0.52 0.68 0.48
66.4 0.51 0.69 0.49
66.5 0.51 0.69 0.49
66.6 0.51 0.69 0.49
66.7 0.51 0.69 0.49
66.8 0.51 0.69 0.49
66.9 0.51 0.69 0.49
67.0 0.51 0.69 0.49
67.1 0.51 0.69 0.49
67.2 0.51 0.69 0.49
67.3 0.51 0.69 0.49
67.4 0.51 0.69 0.49
67.5 0.51 0.69 0.49
67.6 0.51 0.69 0.49
67.7 0.51 0.69 0.49
67.8 0.51 0.69 0.49
67.9 0.51 0.69 0.49
68.0 0.51 0.69 0.49
